HyperLink,text,Source - Website,date,sentiment
https://x.com/peytonjefe/status/1815399312278393025,crumbl so not bs now smh,Twitter,7/16/24,positive
https://x.com/BonchaeManchaee/status/1815395234429260230,I hate crumbl cookies,Twitter,7/16/24,negative
https://x.com/fragrancewhore/status/1815395533692785079,"crumbl line up just dropped, can i have $30",Twitter,7/16/24,negative
https://x.com/key_richey/status/1815394343173210238,Them cookie and cream cookies at cookie crumbl so fye 🥺,Twitter,7/16/24,positive
https://x.com/genn__0/status/1815388003625246935,i want crumbl cookies.,Twitter,7/16/24,neutral
https://x.com/hernamenyah/status/1815383982931947536,i know a crumbl cookie hate to see me coming 💯,Twitter,7/16/24,negative
https://x.com/pearlorexic/status/1815380592889868534,just got offered crumbl what if i commit s*****e,Twitter,7/16/24,neutral
https://x.com/ChanelNicholeee/status/1815337832975929843,crumbl you sure do know how to piss me off,Twitter,7/16/24,negative
https://x.com/franbreg/status/1815322243490066896,its crumbl cookie crumbl cookie 4life,Twitter,7/16/24,neutral
https://x.com/bipawlarr/status/1815306998218404069,i NEED crumbl cookies so bad,Twitter,7/17/24,negative
https://x.com/_TaKenyah/status/1815572110917370164,Insomnia cookies gon do it every time. Crumbl is DISGUSTING!,Twitter,7/17/24,negative
https://x.com/tungstn2763/status/1815259089179414533,crumbl got sued for child labor violations + insomnia better anyway,Twitter,7/17/24,negative
https://x.com/RamiyahSharee/status/1815253641072091453,Crumbl the flavors getting worst by the week fr,Twitter,7/17/24,negative
https://www.facebook.com/share/p/SSmX7FVZsX2nTNMv/,I want Crumbl Cookie so bad I'm finna cry!,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/USDEkjqSfqQwTpkM/,Idk who needs to hear this but Crumbl Cookie is a**,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/e3jBVHwhzgA3oeaH/,Personal opinion: Crumbl cookie is nasty,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/RVEE1RjSyKAmmKN3/,"Now after eating CRUMBL Cookies for the first time my opinion of it is it reminds me of Drake’s musical catalog. Like it’s okay, they got a few good joints, but I just don’t see what all the fuss is about so it’s mad overrated to me.",Facebook ,7/17/24,neutral
https://www.facebook.com/share/p/MY3w7LPx1EgngbGA/,Unpopular opinion but... crumbl cookies is way too hyped up.. I get bad sugar rushes so only had a bite of each 2 cookies I got and meh. They look better than they taste.,Facebook ,7/17/24,negative
https://x.com/cee2geee/status/1815596629501661483,cravinnn crumbl cookie… so bad,Twitter,7/18/24,negative
https://x.com/_themilkmarie/status/1815587400451506531,the berry trifle cake cup from crumbl is so good,Twitter,7/18/24,positive
https://x.com/ShlittyL/status/1815581502404485569,I will never buy or try crumbl cookies 💯,Twitter,7/18/24,neutral
https://x.com/emilyiswriting/status/1815579126004126016,when are we all going to stop pretending crumbl is good? 🫣,Twitter,7/18/24,positive
https://x.com/cweamymilk/status/1815579221026091171,"i want crumbl cookies , this week looks so good",Twitter,7/18/24,positive
https://x.com/_TaKenyah/status/1815572110917370164,Insomnia cookies gon do it every time. Crumbl is DISGUSTING!,Twitter,7/18/24,negative
https://x.com/juleneegracee/status/1815570031071449131,crumbl take my moneyyyyy,Twitter,7/18/24,negative
https://x.com/jasdapimp/status/1815569657602220034,f*** crumbl cookie,Twitter,7/18/24,neutral
