HyperLink,text,date,Category,Sector
https://x.com/Angel_lives/status/1817525850599718996,@DTE_Energy is the site down? I've tried to login multiple times from multiple devices online and through the app,"7:41 AM · Jul 28, 2024",Other Issues,Website/Account Management
https://x.com/Trilln451/status/1817336753834906039,"I was told that, despite the fact that both my husband and I are named on the account, we can't get the senior rate because I set up the account and I'm a year younger than him. So I have to transfer the account ownership, which I cannot do through the website.","7:10 PM · Jul 27, 2024",High Bills,Website/Account Management
https://x.com/Trilln451/status/1817337240495820842,"I have to contact DTE during the hours of 8am to 4pm, by phone (I tried Friday & they didn't call me back) or by chat. I work from 7 to 4. Monday should be a really interesting day. If I had KNOWN this 24 years ago, I would have set up the account in his name.","7:12 PM · Jul 27, 2024",Customer Service,Website/Account Management
https://x.com/TheRoar_24/status/1817018209737797935,"Ok @DTE_Energy, the power is out in St. Clair Shores, MI, I got a pregnant wife and very little patience, let’s hop to it, eh?","10:04 PM · Jul 26, 2024",Outages,Electricity
https://x.com/WildlifeHC/status/1816896410513449352,"Trees filter and absorb particulate air pollution, making them an ideal solution to support #AirQuality. Learn how @DTE_Energy is utilizing #UrbanForestry for better air quality in our white paper, sponsored by @GM: https://bit.ly/4bVuYl2","2:00 PM · Jul 26, 2024",Customer Service,Other
https://x.com/10MillionBy2030/status/1816881473514795403,Sell iShares MSCI South Korea ETF $EWY for a 16.09% Profit. Time to Buy DTE Energy $DTE. #technicalanalysis #fundamentalanalysis #dividendgrowthinvesting #sociallyresponsibleinvesting #bankniftyoptions #StocksInFocus,"1:01 PM · Jul 26, 2024",Other Issues,Other
https://x.com/AspenSpin/status/1816845234929631487,unreliability is the norm with @DTE_Energy 13 power failures last year. another one last night. unreliable service and unreliable updates are a way of life in #bloomfieldtownship @BloomfieldGov,"10:37 AM · Jul 26, 2024",Outages,Electricity
https://x.com/63suzieg/status/1816752985436721512,"So, last night you shut my power off for supposedly 3 hours.  I just woke up and still don't have power.  I knew you idiots wouldn't have the issue fixed.  When is it going to be back on?  Sunday night?","4:30 AM · Jul 26, 2024",Outages,Electricity
https://x.com/Patriot_Lizzy/status/1816672482692092187,"Can I tell you how much I HATE @DTE_Energy . Power just went out for NO FLIPPING REASON and I have family visiting. They are the WORSE Electric Company known to man. NO storms, NO wind, NOTHING & power goes out. How I wish there was another power company to choose from. #DTESucks","11:10 PM · Jul 25, 2024",Outages,Electricity
https://x.com/SniffOutStocks/status/1816665040331866248,"Stock Picks:  DTE Stock Earnings: DTE Energy Beats EPS, Beats Revenue for Q2 2024 http://dlvr.it/TB4l5q","10:41 PM · Jul 25, 2024",Other Issues,Other
